"CT2000.Geo_FIPS","CT2000.Geo_NAME","CT2000.AVGINCOME","CT2000.SIZE","CT2000.ROOMS","CT2000.DEGREE","CT2000.OWN","CT2000.VEHICLES"
6075016500,"Census Tract 165",70663.76263,1.99,3.88144539179862,0.604390243902439,0.195954487989886,1.06068268015171
6075016600,"Census Tract 166",81829.17847,1.99,4.26114151681001,0.667215815485997,0.167477696674777,0.968775344687753
6075016700,"Census Tract 167",83638.64407,1.95,4.09498787388844,0.664754302818658,0.236463620981387,0.99238578680203
6075016800,"Census Tract 168",64833.34377,1.85,3.37005734983399,0.522659806055808,0.132748904195366,0.776768941765811
6075016900,"Census Tract 169",80195.85337,1.77,3.88869665513264,0.604383358098068,0.19496100779844,1.00659868026395
6075017000,"Census Tract 170",120893.6937,1.69,4.42587832047986,0.728166570271833,0.415094339622642,1.23000898472597
6075017100,"Census Tract 171",108369.9689,1.95,4.59649603065973,0.744320052683569,0.323512747875354,1.30311614730878
6075017601,"Census Tract 176.01",34859.48382,1.9,1.72926447574335,0.234667246628969,0.0648338120640131,0.327862125564218
6075017602,"Census Tract 176.02",89313.93443,1.33,1.95136778115502,0.75,0.0116731517509728,0.705179282868526
6075017700,"Census Tract 177",69683.71429,2.63,3.48148148148148,0.38122332859175,0.152923538230885,0.899563318777293
6075017800,"Census Tract 178",39042.90292,1.7,2.16279789538842,0.307197191339965,0.131300160513644,0.485072231139647
6075017901,"Census Tract 179.01",120070.3419,1.47,2.39121978327313,0.651474530831099,0.264389042782395,0.924592182209911
6075017902,"Census Tract 179.02",88562.17949,2.71,5.10103871576959,0.588072122052705,0.00434782608695652,1.67556468172485
6075018000,"Census Tract 180",126810.7066,1.85,2.75160599571734,0.265854895991882,0.404858299595142,0.927152317880795
6075020100,"Census Tract 201",43234.0305,2.52,2.51732673267327,0.21905630271256,0.11968777103209,0.475281873373807
6075020200,"Census Tract 202",54954.81408,1.98,3.32141717203958,0.423263327948304,0.130405854956753,0.725548902195609
6075020300,"Census Tract 203",78242.58934,1.82,3.67009719839909,0.547954866008463,0.198240469208211,0.872727272727273
6075020400,"Census Tract 204",102191.3022,1.64,3.94073901928887,0.673485696020457,0.322186966072736,1.24188430558946
6075020500,"Census Tract 205",98816.60924,1.79,4.44121715076072,0.586435070306038,0.359680928208847,1.04139900071378
6075020600,"Census Tract 206",96349.19445,1.76,4.32979851537646,0.688139534883721,0.314733770970095,1.08933823529412
6075020700,"Census Tract 207",66267.63649,1.93,3.67623381169058,0.602319982490698,0.173678532901834,0.996044588277598
6075020800,"Census Tract 208",48012.63292,3.02,2.98931360460337,0.272546682558601,0.107490478205671,0.691493863732543
6075020900,"Census Tract 209",59021.6018,2.84,3.14837286265858,0.312449145646867,0.115209988649262,0.754256526674234
6075021000,"Census Tract 210",72025.04545,2.05,3.81710526315789,0.543421052631579,0.172945982750794,1.01044030867
6075021100,"Census Tract 211",108253.4929,1.96,4.59703703703704,0.720706757594544,0.393057682491067,1.29093717816684
6075021200,"Census Tract 212",120798.7299,1.91,4.64955070603338,0.704043351396415,0.480718085106383,1.39498018494055
6075021300,"Census Tract 213",122000.1653,2,4.8090692124105,0.692785475394171,0.507475083056478,1.42378559463987
6075021400,"Census Tract 214",101071.3353,1.95,4.60695949800342,0.69551282051282,0.381235154394299,1.28444180522565
