"","CT.DENSITY","CT.AVGINCOME","CT.AVGINCOMESE","CT.SIZE","CT.SIZESE","CT.ROOMS","CT.ROOMSSE","CT.DEGREE","CT.DEGREESE","CT.OWN","CT.OWNSE","CT.VEHICLES","CT.VEHICLESSE"
"103",13501.39,76234.7861842105,3875.57226589391,1.93914473684211,0.125914113629939,5.36830520909758,0.195230093400328,0.192434210526316,0.0186240117691083,0.550986842105263,0.064243072168164,1.44078947368421,0.131212559105909
"104",13949.58,83221.359223301,3182.92930328611,1.8747572815534,0.0909327389941392,4.72181818181818,0.185153187222935,0.307766990291262,0.0170459432133948,0.57378640776699,0.0514041308766677,1.4621359223301,0.102415817106868
"105",10410.68,71146.1538461538,4738.33858619428,1.67362637362637,0.12969967961642,5.17961165048544,0.275759587474702,0.136263736263736,0.0150808983934256,0.468131868131868,0.0544350113094119,1.50879120879121,0.14864429030929
"106",17626.88,152380.208333333,4466.41122941079,1.91071428571429,0.0901929481509935,5.48166786484544,0.155829656331833,0.710565476190476,0.0251271184812185,0.726190476190476,0.0442380581917997,1.53422619047619,0.0875598148951552
"107",22914.73,137419.415645617,5219.99893879472,1.40951932139491,0.0884539842140938,5.26402070750647,0.137341909472267,0.652686145146089,0.0322497352862635,0.59990574929312,0.0559726788091224,1.47973609802074,0.105155482758589
"108",31276.97,139081.454340474,4561.44976877322,1.16459977452086,0.059822819652611,4.79241414659149,0.109440410138274,0.64543404735062,0.0247490951828862,0.454340473506201,0.0378990411935735,1.20800450958286,0.083608282924875
"109",29705.31,129873.343151694,4752.80677533996,1.21134020618557,0.0731266570757817,4.60155697098372,0.142331734732834,0.491899852724595,0.0233154294758628,0.410898379970545,0.0504903952954676,1.24374079528719,0.100992864256918
"110",28033.59,139004.954954955,5085.08434873791,1.9036036036036,0.110007687159318,5.35904027420737,0.125598286292879,0.553153153153153,0.0263885517342703,0.707207207207207,0.0628971243417839,1.49009009009009,0.115539745757834
"111",25208.08,114794.346289753,5850.9592933775,1.77385159010601,0.109028836691801,5.23803446075303,0.214503051453157,0.362544169611307,0.0252271765864453,0.563250883392226,0.0533546017574659,1.53144876325088,0.119783535175099
"112",22528.96,122991.883116883,1452.08835161753,2.26262626262626,0.0753802995816198,5.38852813852814,0.111910040238162,0.468614718614719,0.0115148385056122,0.688672438672439,0.0459823299858556,1.61291486291486,0.0853805828459731
"113",25325.44,94185.6697819315,3449.82912181017,2.34828660436137,0.107968419939635,5.52819332566168,0.128127142500079,0.292834890965732,0.015704720601971,0.707788161993769,0.0605805532400948,1.75140186915888,0.107445358344054
"114",21985.29,109656.441717791,2672.83471359394,2.39331970006817,0.0923065130650933,4.94308405029782,0.102606456669938,0.250170415814588,0.0131125817897754,0.685753237900477,0.0499749224853521,1.81663258350375,0.101110238070279
"115",22809.14,81528.7081339713,3231.04444978631,1.72886762360447,0.102775176818967,5.04649446494465,0.134595117611911,0.261562998405104,0.0214259808544543,0.486443381180223,0.071750529910724,1.31738437001595,0.118458781736407
"116",19862.46,91414.0378548896,2796.33802993539,1.58990536277603,0.0868450335884523,4.87635239567233,0.154750925364493,0.427444794952681,0.0199336198479409,0.537854889589905,0.0550904507371549,1.44479495268139,0.113222539982324
"117",19265.7,109082.439678284,1196.37089902592,2.20308310991957,0.0782570485738078,5.61796246648794,0.107374180319552,0.428954423592493,0.0128660433401647,0.766756032171582,0.0470649656871041,1.86394101876676,0.0936874908296211
"118",37772.54,79016.9648365207,1949.83257044149,1.8778531770512,0.0762860516551385,5.16774573278399,0.106555384159871,0.276989512646515,0.0122228262719084,0.536088834053054,0.0525403835981225,1.54719309068476,0.0943827886418561
"119",25837.57,114472,3399.47151653545,2.148,0.0898953243065067,5.43893129770992,0.103050152243905,0.435,0.0174483318053235,0.755,0.0584137738183512,1.63,0.101731956459512
"120",34640.38,86516.3877266388,2705.80816394544,2.11366806136681,0.100178681049531,5.22544951590595,0.184236560108457,0.284518828451883,0.0172412158561268,0.633891213389121,0.0517092762602023,1.89748953974895,0.118268857080517
"121",38878.5,102743.253662298,1824.37029332522,2.15420200462606,0.0908842333290119,5.54434250764526,0.142410849333252,0.297609868928296,0.0137695108161023,0.63993831919815,0.0595048839989808,1.91518889745567,0.114465679784637
