,Geo_GEOID,Geo_NAME,TotalExpenditures,TotalFood,FoodAtHome,FoodAwayFromHome,AlcoholicBeverages,Cerealsandbakeryproducts,Meatspoultryfishandeggs,Dairyproducts,Fruitsandvegetables,Otherfoodathome,Housing,Shelter,OtherLodging,UtilitiesFuelsAndPublicServices,HouseholdOperations,Housekeepingsupplies,HouseFurnishingsAndEquipment,HouseholdTextiles,Furniture,FloorCoverings,MajorAppliances,SmallAppliancesMiscHousewares,MiscHoushouseholdEquipment,ApparelAndServices,Transportation,VehiclePurchasesNetOutlay,Gasolineotherfuelsandmotoroil,Othervehicleexpenses,PublicAndOtherTransportation,PublicAndOtherTransportationOnTrips,LocalPublicTransportationExclOnTrips,Healthcare,Entertainment,EntertainmentGoods,EntertainmentServices,PersonalCareProductsAndServices,Reading,Education,TobaccoAndSmokingSupplies,MiscellaneousExpenditures,CashContributions,PersonalInsuranceAndPensions
25,14000US06075012501,"Census Tract 125.01, San Francisco County, California",30470.46332462238,5491.3102291749465,2955.0307158316186,2982.5122853312896,602.4614139831834,468.56108516407403,697.9711525869944,348.49885071842436,541.5850961482732,898.8403899567774,13130.603147405749,11471.872165683602,1174.0931396497056,828.0602126755964,441.7013240167867,313.75256276457253,1206.0208271457175,135.66941249946277,320.4766274564438,55.79125916192565,194.99349867286313,63.538972609247466,617.5548835362796,2083.14474976025,4246.132931637427,969.6149589126708,1046.8938721352022,3544.5162778783465,744.198701070764,811.6657425364358,152.4149446284051,1121.762672192438,2202.52603259185,1549.8061750801742,887.8332314544409,422.1981479095152,135.49849655600178,189.71297192564268,722.1807945348161,1041.8138031141148,824.3545707715815,2587.6802882610186
26,14000US06075012502,"Census Tract 125.02, San Francisco County, California",28004.09017835062,5314.476460554738,2928.737162817581,2796.1904242858604,573.1296154906796,464.3893262734493,691.7533909706824,345.39134759987076,536.7793036152473,890.832081715387,12015.157210362537,10395.725099213369,1073.0981258807553,859.1387716612109,390.29967950791877,277.25119158058794,1117.9140115182217,136.97376816613112,360.8004062519171,55.13311321987624,189.4117447540928,65.71407198252817,580.161839952838,1947.8026420165968,3897.615589428303,584.5878563309622,997.9532664735159,3517.3583605691456,675.7779493865407,771.3699724031437,146.8083210166757,1023.9691814107931,2024.9764212793991,1491.317223977442,789.1288654231714,412.76090558217163,132.3953145832435,196.10064407368293,771.2548675980369,962.7731408534431,719.8760360032742,2100.969878294328
27,14000US06075012601,"Census Tract 126.01, San Francisco County, California",60527.66813359821,7800.808591093754,3749.608846807095,4303.608545176457,1029.596640127159,594.7835078550812,885.6309446792108,442.1070117182251,687.2905974671161,1140.5022294547337,23330.452775856105,18665.104005371544,1680.2833511080148,1823.9412943669308,1047.119155074931,743.2627771060627,1758.4649330178256,136.0067104069372,470.2242540725285,50.58942605093742,315.22723331023917,114.57454379302101,831.5642906105426,3507.131917194872,8510.53669280825,7425.396027889123,1325.2309467408518,3769.1838259866745,1420.7000883701749,1091.4588082481382,175.81650923235145,1981.8325652172741,3255.828837962084,1901.6393194546295,1434.4469472162991,687.437836863784,268.7348609562792,342.26665717949027,525.3853201233663,1457.6655472500481,2128.2560164090023,6564.056710815643
28,14000US06075012602,"Census Tract 126.02, San Francisco County, California",63905.24458799129,8153.358167683563,3942.4423437965975,4406.559921705917,1022.1566899108817,625.3939395508735,931.1726820256337,464.83212766139457,722.6397634631131,1199.159530207262,24127.147622307883,19138.9050469642,1691.999063058602,2004.2919145031467,1085.3737711562871,770.4343794656538,1843.1388764504238,133.05196235567146,454.69371291503666,48.379951513159426,339.17084159073653,120.13398419554343,871.8889159126705,3703.5923229338496,9287.079302973802,8822.345993115097,1421.1913635715462,3855.187360866376,1393.840426028705,1063.240010852427,173.88329086635818,2055.8030037179665,3306.2989369076276,1918.1601401287603,1478.5783742537383,721.1201364367172,294.8504131136408,373.74093277635683,570.6960055420323,1517.7353991315724,2208.099705794396,6826.596123897804
29,14000US06075012700,"Census Tract 127, San Francisco County, California",65265.67765936315,8208.677217097718,3965.4746609031367,4395.29416032308,1081.9420897494672,629.06170405299,936.6097656878743,467.5385863769432,726.8732801750363,1206.1563304917984,24480.559137958167,18685.240712828774,1756.279161187681,2153.6914753620636,1130.039744067614,802.1079738420386,1940.3314383560037,139.45726294425265,555.1023573320358,62.139792100755635,383.8870058288685,122.91443229262926,882.6626139970075,3821.2475644301635,9476.013941936892,7041.503557045029,1416.3850835118153,3856.1129630189903,1437.363066599314,1107.5306505593776,172.46702227863807,2188.787035402541,3519.040022187565,1993.3467972359897,1545.9281270766958,739.3238595185189,307.2580181447669,413.66276130100215,460.43637694531566,1513.675396040683,2246.7472309971026,6841.295667200485
30,14000US06075012800,"Census Tract 128, San Francisco County, California",69299.94674192031,8789.250892132211,4288.520971262741,4634.7229026598225,1073.1671176899633,680.3354577876054,1012.8969147688048,505.61048919495653,786.0910419818418,1304.4309774500387,25689.55444646325,19309.11461622197,1749.3661169018008,2407.989483927803,1273.0505162861457,903.6472803230841,2098.547974189538,144.78430277101972,603.0878374244592,66.53928690941336,313.49322801432817,131.0336759980654,943.0275912101214,4102.3667551576345,10179.109762758373,7456.704759382383,1515.0647390265315,3865.0341495889775,1453.3942937390111,1108.870842056091,176.80468256982735,2269.813691525412,3642.39133355521,2038.2671996487154,1638.1289432594192,770.1140571380026,320.90945892277244,463.62285928819034,434.1971470178397,1593.690558464568,2383.1671535483083,7262.394333510533
31,14000US06075012901,"Census Tract 129.01, San Francisco County, California",62570.907413391054,8018.303798993164,3848.074359822682,4428.634734252221,1055.5172834892671,610.4108096473242,908.886291433999,453.7143071569533,705.3361066784524,1170.459112992959,24003.51076929623,18925.048831361742,1709.1129518868588,1881.0237672849544,1116.1927358119792,792.3016154641396,1865.2917149425955,140.60605129786416,509.7945802435056,55.38138983641454,302.87675311136604,114.68207252333686,865.2575234658017,3663.0098434629517,8878.42012045162,7880.077110234368,1368.9498539357946,3778.0850633948344,1460.4301620411086,1119.9724756390722,178.22077740263916,2067.577714076156,3402.0303339572347,1954.569958335873,1506.337242695654,699.682849186745,272.5127261134436,358.9847786179313,474.8170417864465,1501.1866740157582,2222.2578052055783,6929.4726228835625
32,14000US06075012902,"Census Tract 129.02, San Francisco County, California",62196.84832641462,7992.915426695741,3890.898644020447,4300.324156382888,1018.3630526905537,617.2074515507366,918.9987297511648,458.75817656172575,713.1909518799777,1183.4801511695334,23692.8353151878,18398.076186373943,1741.3985222461554,1969.8130511229306,1071.296147653316,760.4591314917182,1887.9858475341382,137.2344665917687,490.8425052819076,62.64577983058353,361.6443355915178,115.68434974688492,867.5254187046977,3667.8949345677042,8973.964256673402,6471.140761834033,1399.1940093250407,3835.623707819446,1367.3376340217496,1074.998349565627,171.69570468940358,2102.412143847822,3435.4885328922724,1958.6211600184358,1521.021571386646,705.9069929425144,288.9503993490579,384.66858827508014,480.57972816244313,1496.5597031094744,2100.843667043152,6568.240127330662
33,14000US06075013000,"Census Tract 130, San Francisco County, California",64999.919779735515,8285.815042595854,3999.9751606930517,4528.201190705749,1015.2448470773702,634.5182006971485,944.759660223183,471.61815866938616,733.1783901469965,1216.6697871723843,24811.87902368914,19748.885276362846,1733.4497547679402,1972.367861638906,1165.1513683381804,827.0663110901206,1899.2809391996236,135.82022252965533,447.3378423858739,52.6251334197119,291.9422929870124,119.17310666810762,891.1693330411135,3766.8216456759396,9292.166995472433,9147.150246788056,1432.1273676317066,3814.734067240416,1434.9054616368605,1082.3757567350826,178.80303128524633,2092.999130585345,3406.5411239632717,1943.3999826059787,1552.7752044224576,715.567450118446,286.39603220374477,371.1402512026892,523.8880297814022,1558.0430802605915,2280.201405654188,7249.773598627988
34,14000US06075013101,"Census Tract 131.01, San Francisco County, California",58022.918837317586,7460.35335914083,3533.6468996916074,4217.661982602752,1069.311565777001,560.5095426177274,834.6311827738269,416.65510166323037,647.7010311750346,1074.8075686998054,22549.495866911206,18284.19459471409,1642.9482396362594,1651.5049108941262,979.6476746524052,695.3484564559948,1665.0817608958896,136.4173908467716,481.7377052641718,44.82355627497903,326.9565577737147,108.52694856046139,795.4982918125053,3348.416617768287,8077.131651921765,7869.707622919939,1252.4427397817724,3734.4241199301846,1463.602099400928,1124.3153424920827,176.2652008025745,1910.8917275971764,3158.3040264112237,1877.3982635585508,1357.258673582616,666.0274555965163,251.13800842896902,306.6913246627838,534.5331762188353,1402.3331037699643,2103.912462062806,6409.988778740299
