index,N,adj_r2,parameter,HHSIZE,INCOME,ROOMS,DETTACHED,OWN,DEGREE,VEH
MiscHoushouseholdEquipment, , ,SE,0.034,0.016,0.056,0.034,0.044,0.035,0.032
MiscHoushouseholdEquipment,  ,  ,Confidence Level,0.0,0.0,0.204,0.012,0.003,0.093,0.0
MiscellaneousExpenditures,7325,0.025,Beta,-0.006,0.148,0.255,-0.032,0.065,0.06,0.085
MiscellaneousExpenditures, , ,SE,0.037,0.018,0.061,0.036,0.048,0.037,0.035
MiscellaneousExpenditures,  ,  ,Confidence Level,0.862,0.0,0.0,0.382,0.175,0.111,0.014
OtherEntertainment,3529,0.041,Beta,-0.055,0.146,0.232,-0.017,0.002,-0.021,0.348
OtherEntertainment, , ,SE,0.05,0.025,0.084,0.051,0.067,0.054,0.047
OtherEntertainment,  ,  ,Confidence Level,0.273,0.0,0.006,0.744,0.977,0.706,0.0
OtherEquipmentAndServices,9229,0.057,Beta,0.004,0.144,0.265,0.039,0.025,0.171,0.233
OtherEquipmentAndServices, , ,SE,0.027,0.013,0.046,0.027,0.035,0.028,0.026
OtherEquipmentAndServices,  ,  ,Confidence Level,0.896,0.0,0.0,0.156,0.489,0.0,0.0
OtherLodging,3745,0.053,Beta,-0.011,0.183,0.206,-0.025,0.104,0.294,-0.051
OtherLodging, , ,SE,0.046,0.019,0.071,0.043,0.062,0.045,0.04
OtherLodging,  ,  ,Confidence Level,0.801,0.0,0.004,0.565,0.091,0.0,0.203
OtherhouseHoldExpenses,16730,0.023,Beta,0.055,0.067,0.064,-0.001,0.008,0.069,0.046
OtherhouseHoldExpenses, , ,SE,0.012,0.006,0.021,0.012,0.016,0.013,0.012
OtherhouseHoldExpenses,  ,  ,Confidence Level,0.0,0.0,0.002,0.922,0.602,0.0,0.0
Othervehicles,41,0.18,Beta,0.09,0.176,-1.386,1.07,0.704,-0.24,0.372
Othervehicles, , ,SE,0.361,0.226,0.518,0.378,0.405,0.425,0.404
Othervehicles,  ,  ,Confidence Level,0.804,0.443,0.012,0.008,0.091,0.576,0.363
PersonalCare,14634,0.083,Beta,0.214,0.152,0.251,0.012,0.045,0.184,-0.027
PersonalCare, , ,SE,0.018,0.008,0.029,0.018,0.023,0.018,0.018
PersonalCare,  ,  ,Confidence Level,0.0,0.0,0.0,0.48,0.052,0.0,0.126
